stock,time,prices,shares
BPK,09:30:12.98,15.88,2
BPL,09:38:11.13,70.66,100
BPO,09:37:35.53,19.195,100
BPS,09:30:33.30,11.55,96
MBLX,09:32:58.85,1.2101,250
SRC,09:37:38.63,9.81,200
SRF,09:31:56.35,16.9001,1241
BPT,09:38:04.43,79.4,100
SRE,09:38:07.33,89.02,3
BPY,09:38:11.58,20.1,300
SRI,09:37:46.78,12.71,5
BPZ,09:38:02.28,1.83,100
SRS,09:36:53.78,21.67,100
SRV,09:34:58.73,7.99,100
BBLU,09:30:13.40,2.8,10
BQH,09:30:01.98,12.43,3
LPLA,09:37:53.35,47.07,40
NEPT,09:30:00.33,2.92,500
BQR,09:36:14.38,7.83,100
BBNK,09:36:49.40,20.67,4
SSD,09:36:48.53,36.64,15
SSG,09:33:44.25,20.75,100
SSI,09:37:46.70,22.24,100
SSH,09:36:52.23,9.85,600
BQY,09:31:11.00,12.9,500
NEOG,09:36:47.95,45.57,19
CVRR,09:37:36.15,22.415,611
XSLV,09:38:00.75,30.8301,88
SSL,09:37:41.75,48.76,14
SSO,09:38:13.48,101.43,17
SSN,09:33:12.40,0.41,100
NEOM,09:33:22.00,0.0014,64464
SSP,09:37:40.05,21.36,94
BRC,09:37:58.08,31.06,100
OHRP,09:30:00.35,7.94,300
NEON,09:37:57.88,6.32,100
SSS,09:36:51.63,64.6,2
BRE,09:38:04.65,55.035,100
SST,09:30:00.58,29.98,269
BRD,09:32:40.13,0.793,200
SSW,09:37:50.48,22.75,4
BRF,09:31:16.65,28.68,301
TLSYY,09:38:10.20,23.31,500
XBKS,09:30:00.53,5.89,100
BRO,09:37:59.90,31.2,100
STB,09:37:35.48,6.2,100
CERN,09:38:13.08,55.3201,100
BRP,09:37:49.23,23.99,100
BRS,09:37:44.45,74.78,7
STC,09:37:36.23,32.33,100
NVSL,09:30:00.58,7.13,300
BRT,09:30:01.38,7.03,101
STE,09:38:13.33,48.02,15
STJ,09:38:12.15,62.0,100
BRX,09:38:09.03,20.275,200
STI,09:38:07.88,36.68,100
CERE,09:34:47.13,1.3801,4000
STL,09:38:06.65,13.25,100
CVST,09:30:00.20,0.0021,1000
STK,09:35:15.70,14.39,200
SUBK,09:36:49.43,20.85,4
STN,09:35:50.58,61.75,126
STM,09:38:10.15,7.88,100
STO,09:38:08.15,23.85,600
STR,09:37:28.78,22.86,100
BSPM,09:36:54.15,2.1182,100
STT,09:38:10.65,73.33,10
BSD,09:36:33.25,12.05,109
STS,09:30:44.63,5.93,100
STV,09:34:40.28,1.7403,1500
BSE,09:34:32.65,11.99,100
STX,09:38:13.70,55.6,100
BGMZF,09:34:29.80,0.4,2000
STZ,09:38:14.03,70.11,100
BSL,09:34:29.00,18.79,513
CVSC,09:30:15.00,0.0013,1850
CEQP,09:38:06.83,13.95,100
BSP,09:34:47.83,7.73,100
PSA.PR.X,09:37:16.15,18.9,1000
MSON,09:35:30.88,5.7,200
SUB,09:35:17.00,106.3,2
PSA.PR.T,09:30:01.20,20.76,1
BSV,09:38:13.25,79.94,300
PSA.PR.U,09:35:49.93,20.31,117
PSA.PR.V,09:35:00.90,19.36,1
SUI,09:37:48.53,42.4075,90
BSX,09:38:12.63,12.0,100
PSA.PR.W,09:35:01.13,18.82,1
PSA.PR.P,09:30:00.80,23.75,113
PSA.PR.Q,09:35:00.90,23.41,1
PSA.PR.R,09:31:40.33,23.14,100
PSA.PR.S,09:31:19.38,21.5,100
APNT,09:32:19.40,0.028,12000
XSNX,09:30:08.20,0.009,10000
BSQR,09:30:00.25,3.54,1372
BTA,09:30:05.10,10.18,839
PSA.PR.O,09:30:00.75,25.05,403
SUP,09:36:30.25,20.36,40
HUBG,09:36:58.38,39.82,20
BTE,09:37:44.45,39.01,80
BTG,09:38:10.58,2.15,300
BTF,09:30:03.30,22.86,1
BTI,09:37:57.78,106.15,100
BBOX,09:37:19.80,29.53,9
BTH,09:37:15.28,10.95,100
CVTI,09:30:00.40,8.2,200
PKWY,09:30:09.20,0.035,3000
BTO,09:31:29.48,23.29,100
CERS,09:38:10.53,6.32,100
BTN,09:30:00.13,4.67,1295
SVA,09:30:00.50,6.09,1065
CERP,09:30:19.00,0.0053,10000
KPCPY,09:36:01.40,18.56,22
BTU,09:38:12.50,19.52,200
NETC,09:36:32.60,9.6,126
BTT,09:35:41.58,17.12,100
TXGE,09:35:53.80,0.02,14000
BTX,09:37:59.85,3.58,100
BTZ,09:38:02.50,13.04,28
WPNV,09:36:56.40,0.0249,1000
SVM,09:38:11.85,2.3899,500
NETE,09:36:49.68,4.96,2
BSRR,09:36:49.43,16.17,5
